x,y,z,a,h,g
.03835,0,0,0,1.0279,1.0357
.036856299999999995,0,.0009149000000000001,.00021470000000000001,1.0279,1.0357
.0340464,0,.0017924,6525e-7,1.0279,1.0357
.029416,0,.0024552000000000003,.0011296,1.0279,1.0357
.0266247,0,.0024365000000000003,.0013537,1.0279,1.0357
.023525300000000002,0,.0023059,.0014470000000000002,1.0279,1.0357
.0206967,0,.0022498,.0015964,1.0279,1.0357
.0177,0,.0020537999999999997,.0015497,1.0279,1.0357
.0151888,0,.0018484,.0016524,1.0279,1.0357
.012845599999999999,0,.0016897,.0019044,1.0279,1.0357
.0105304,0,.0016897,.0017551,1.0279,1.0357
.0084672,0,.0020631,.0016524,1.0279,1.0357
.0066468,0,.0024739,.0013816,1.0279,1.0357
.0029687000000000003,0,.0024739,.0011015999999999999,1.0279,1.0357
0,0,.0035568,.0005507999999999999,1.0279,1.0357
